unique_id,sets,original_image,segmentation_image
000101,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000101.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000101.png?raw=true
000104,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000104.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000104.png?raw=true
000105,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000105.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000105.png?raw=true
000106,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000106.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000106.png?raw=true
000107,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000107.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000107.png?raw=true
000108,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000108.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000108.png?raw=true
000109,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000109.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000109.png?raw=true
000110,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000110.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000110.png?raw=true
000111,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000111.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000111.png?raw=true
000113,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000113.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000113.png?raw=true
000114,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000114.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000114.png?raw=true
000116,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000116.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000116.png?raw=true
000117,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000117.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000117.png?raw=true
000118,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000118.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000118.png?raw=true
000120,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000120.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000120.png?raw=true
000202,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000202.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000202.png?raw=true
000204,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000204.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000204.png?raw=true
000205,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000205.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000205.png?raw=true
000206,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000206.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000206.png?raw=true
000211,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000211.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000211.png?raw=true
000212,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000212.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000212.png?raw=true
000213,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000213.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000213.png?raw=true
000217,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000217.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000217.png?raw=true
000219,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000219.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000219.png?raw=true
000220,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000220.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000220.png?raw=true
000301,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000301.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000301.png?raw=true
000302,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000302.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000302.png?raw=true
000303,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000303.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000303.png?raw=true
000304,train,https://github.com/lisawen0707/soybean/blob/main/soybean/original_image/000304.jpg?raw=true,https://github.com/lisawen0707/soybean/blob/main/soybean/segmentation_image/000304.png?raw=true
